2023-09-20,56.7k,19909
2023-09-21,58.6k,19737
2023-09-22,56.4k,19674
2023-09-23,56.45k,19674.25
2023-09-25,56.45k,19674.25
2023-09-26,54.4k,19674.55
2023-09-27,54.3k,19664.70
2023-09-28,55.83k,19716.45
2023-09-30,57.25k,19638.30
2023-10-03,57.25k,19528.75
2023-10-04,57.1k,19436.10
2023-10-05,58.97k,19545.75
2023-10-09,57k,19512.35
2023-10-11,55.4k,19811.35
2023-10-12,54.12k,19786.60
2023-10-17,51.41k,19811.50
2023-10-19,50.14k,19624.70
2023-10-23,51.81k,19281.75
2023-10-25,48.59k,19122.15
2023-10-26,48.71k,18857.25
2023-10-27,49.36k,19047.25
2023-10-28,49.36k,19047.25
